Cmpd Label,Smiles,Energy(eV)
1ia,N#CC(=C(C)c1ccc(cc1)c1ccc(N(C)C)cc1)C#N,3.2508
1id,c1cc(ccc1N(C)C)c1ccc(cc1)C#N,3.9102
1ir,N(c1ccc(c2ccc(C(=O)OC)cc2)cc1)(C)C,3.9642
1is,N(c1ccc(c2ccc(cc2)N(=O)=O)cc1)(C)C,3.4472
1iid,N(c1ccc(c2ccc(cc2)C#N)cc1)(CCF)CC,3.9125
1iia,N#CC(=C(C)c1ccc(cc1)c1ccc(N(CCF)CC)cc1)C#N,3.2585
1iir,N(c1ccc(c2ccc(C(=O)OC)cc2)cc1)(CCF)CC,3.9622
1iis,N(c1ccc(c2ccc(cc2)N(=O)=O)cc1)(CCF)CC,3.4573
1iiia,N#CC(=C(C)c1ccc(cc1)c1ccc(N(CCO)CC)cc1)C#N,3.1829
1iiid,N(c1ccc(c2ccc(cc2)C#N)cc1)(CCO)CC,3.8532
1iiir,N(c1ccc(c2ccc(C(=O)OC)cc2)cc1)(CCO)CC,3.9037
1iiis,N(c1ccc(c2ccc(cc2)N(=O)=O)cc1)(CCO)CC,3.3906
1iva,N#CC(=C(C)c1ccc(cc1)c1ccc(N(CCF)C)cc1)C#N,3.3211
1ivd,N(c1ccc(c2ccc(cc2)C#N)cc1)(CCF)C,3.9667
1ivr,N(c1ccc(c2ccc(C(=O)OC)cc2)cc1)(CCF)C,4.0236
1ivs,N(c1ccc(c2ccc(cc2)N(=O)=O)cc1)(CCF)C,3.5189
2ia,c1(cc2c(cc1)cc(cc2)N(C)C)c1ccc(cc1)C(=C(C#N)C#N)C,3.2664
2id,c1(cc2c(cc1)cc(cc2)N(C)C)c1ccc(cc1)C#N,3.6732
2ir,c1(cc2c(cc1)cc(cc2)N(C)C)c1ccc(cc1)C(=O)OC,3.714
2is,c1(cc2c(cc1)cc(cc2)N(C)C)c1ccc(cc1)N(=O)=O,3.3929
2iia,c1(cc2c(cc1)cc(cc2)N(CC)CCF)c1ccc(cc1)C(=C(C#N)C#N)C,3.6897
2iid,c1(cc2c(cc1)cc(cc2)N(CC)CCF)c1ccc(cc1)C#N,3.6857
2iir,c1(cc2c(cc1)cc(cc2)N(CC)CCF)c1ccc(cc1)C(=O)OC,4.1448
2iis,c1(cc2c(cc1)cc(cc2)N(CC)CCF)c1ccc(cc1)N(=O)=O,3.8606
2iiia,c1(cc2c(cc1)cc(cc2)N(CC)CCO)c1ccc(cc1)C(=C(C#N)C#N)C,3.6578
2iiid,c1(cc2c(cc1)cc(cc2)N(CC)CCO)c1ccc(cc1)C#N,3.641
2iiir,c1(cc2c(cc1)cc(cc2)N(CC)CCO)c1ccc(cc1)C(=O)OC,4.1168
2iiis,c1(cc2c(cc1)cc(cc2)N(CC)CCO)c1ccc(cc1)N(=O)=O,3.8286
2iva,c1(cc2c(cc1)cc(cc2)N(CCF)C)c1ccc(cc1)C(=C(C#N)C#N)C,3.6513
2ivd,c1(cc2c(cc1)cc(cc2)N(CCF)C)c1ccc(cc1)C#N,4.0635
2ivr,c1(cc2c(cc1)cc(cc2)N(CCF)C)c1ccc(cc1)C(=O)OC,4.1015
2ivs,c1(cc2c(cc1)cc(cc2)N(CCF)C)c1ccc(cc1)N(=O)=O,3.8144
3ia,N(c1ccc(cc1)/C=C/c1ccc(cc1)C(=C(C#N)C#N)C)(C)C,2.8693
3id,N(c1ccc(cc1)/C=C/c1ccc(cc1)C#N)(C)C,3.2815
3ir,N(c1ccc(cc1)/C=C/c1ccc(cc1)C(=O)OC)(C)C,3.3342
3is,N(c1ccc(cc1)/C=C/c1ccc(cc1)N(=O)=O)(C)C,3.0224
3iia,N(c1ccc(cc1)/C=C/c1ccc(cc1)C(=C(C#N)C#N)C)(CCF)CC,2.9067
3iid,N(c1ccc(cc1)/C=C/c1ccc(cc1)C#N)(CCF)CC,3.3041
3iir,N(c1ccc(cc1)/C=C/c1ccc(cc1)C(=O)OC)(CCF)CC,3.3508
3iis,N(c1ccc(cc1)/C=C/c1ccc(cc1)N(=O)=O)(CCF)CC,3.0556
3iiia,N(c1ccc(cc1)/C=C/c1ccc(cc1)C(=C(C#N)C#N)C)(CCO)CC,2.861
3iiid,N(c1ccc(cc1)/C=C/c1ccc(cc1)C#N)(CCO)CC,3.2661
3iiir,N(c1ccc(cc1)/C=C/c1ccc(cc1)C(=O)OC)(CCO)CC,3.3133
3iiis,N(c1ccc(cc1)/C=C/c1ccc(cc1)N(=O)=O)(CCO)CC,3.0116
3iva,N(c1ccc(cc1)/C=C/c1ccc(cc1)C(=C(C#N)C#N)C)(CCF)C,2.9213
3ivd,N(c1ccc(cc1)/C=C/c1ccc(cc1)C#N)(CCF)C,3.3167
3ivr,N(c1ccc(cc1)/C=C/c1ccc(cc1)C(=O)OC)(CCF)C,3.3624
3ivs,N(c1ccc(cc1)/C=C/c1ccc(cc1)N(=O)=O)(CCF)C,3.0708
4ia,N(c1ccc(cc1)C#Cc1ccc(cc1)C(=C(C#N)C#N)C)(C)C,3.0954
4id,N(c1ccc(cc1)C#Cc1ccc(cc1)C#N)(C)C,3.5212
4ir,N(c1ccc(cc1)C#Cc1ccc(cc1)C(=O)OC)(C)C,3.5845
4is,N(c1ccc(cc1)C#Cc1ccc(cc1)N(=O)=O)(C)C,3.2232
4iia,N(c1ccc(cc1)C#Cc1ccc(cc1)C(=C(C#N)C#N)C)(CC)CCF,3.1372
4iid,N(c1ccc(cc1)C#Cc1ccc(cc1)C#N)(CC)CCF,3.5521
4iir,N(c1ccc(cc1)C#Cc1ccc(cc1)C(=O)OC)(CC)CCF,3.6085
4iis,N(c1ccc(cc1)C#Cc1ccc(cc1)N(=O)=O)(CC)CCF,3.2637
4iiia,N(c1ccc(cc1)C#Cc1ccc(cc1)C(=C(C#N)C#N)C)(CC)CCO,3.0888
4iiid,N(c1ccc(cc1)C#Cc1ccc(cc1)C#N)(CC)CCO,3.5118
4iiir,N(c1ccc(cc1)C#Cc1ccc(cc1)C(=O)OC)(CC)CCO,3.5692
4iiis,N(c1ccc(cc1)C#Cc1ccc(cc1)N(=O)=O)(CC)CCO,3.2166
4iva,N(c1ccc(cc1)C#Cc1ccc(cc1)C(=C(C#N)C#N)C)(C)CCF,3.1526
4ivd,N(c1ccc(cc1)C#Cc1ccc(cc1)C#N)(C)CCF,3.5674
4ivr,N(c1ccc(cc1)C#Cc1ccc(cc1)C(=O)OC)(C)CCF,3.6234
4ivs,N(c1ccc(cc1)C#Cc1ccc(cc1)N(=O)=O)(C)CCF,3.2811
5ia,c1(cc2c(cc1)cc(cc2)N(C)C)C#Cc1ccc(cc1)C(=C(C#N)C#N)C,3.0882
5id,c1(cc2c(cc1)cc(cc2)N(C)C)C#Cc1ccc(cc1)C#N,3.3794
5ir,c1(cc2c(cc1)cc(cc2)N(C)C)C#Cc1ccc(cc1)C(=O)OC,3.4339
5is,c1(cc2c(cc1)cc(cc2)N(C)C)C#Cc1ccc(cc1)N(=O)=O,3.1669
5iia,c1(cc2c(cc1)cc(cc2)N(CC)CCF)C#Cc1ccc(cc1)C(=C(C#N)C#N)C,3.1143
5iid,c1(cc2c(cc1)cc(cc2)N(CC)CCF)C#Cc1ccc(cc1)C#N,3.3995
5iir,c1(cc2c(cc1)cc(cc2)N(CC)CCF)C#Cc1ccc(cc1)C(=O)OC,3.4493
5iis,c1(cc2c(cc1)cc(cc2)N(CC)CCF)C#Cc1ccc(cc1)N(=O)=O,3.1936
5iiia,c1(cc2c(cc1)cc(cc2)N(CC)CCO)C#Cc1ccc(cc1)C(=C(C#N)C#N)C,3.0717
5iiid,c1(cc2c(cc1)cc(cc2)N(CC)CCO)C#Cc1ccc(cc1)C#N,3.3614
